CTA1	1.608333333	72.98361111	
SJ001355.9-185406	3.466666667	-17.10861111	
Tycho	6.3625	64.18055556	
KUV00311-1938	8.3925	-18.64083333	
1ES0033+595	8.969291667	59.8346	
NGC253	11.89291667	-24.71038889	
RGBJ0136+391	24.13541667	39.1	
RGBJ0152+017	28.13958333	1.777861111	
3C66A	35.67333333	43.04319444	
MAGICJ0223+403	35.8	43.01166667	
1ES0229+200	38.22166667	20.2725	
LSI+61303	40.14166667	61.25694444	
PKS0301-243	45.847875	-23.87337222	
IC310	49.17916667	41.32472222	
RBS0413	49.94583333	18.76166667	
NGC1275	49.95041667	41.51166667	
1ES0347-121	57.34583333	-10.02277778	
1ES0414+009	64.22066667	1.089	
PKS0447-439	72.3675	-42.16333333	
1ES0502+675	76.98416667	67.62333333	
VERJ0521+211	80.4375	21.21427778	
Crab	83.62958333	22.01444444	
N157B	84.43333333	-68.83416667	
PKS0548-322	87.66	-31.72975	
IC443	94.2125	22.50305556	
Geminga	98.11666667	17.36666667	
HESSJ0632+057	98.24291667	5.805555556	
RXJ0648.7+1516	102.19	15.27	
1ES0647+250	102.69375	25.05	
RGBJ0710+591	107.61	59.15	
S50716+714	110.4725	71.34333333	
1ES0806+524	122.4958333	52.31666667	
VelaX	128.75	-44.4	
RBS0723	131.80375	11.56388889	
RXJ0852.0-4622	133	-45.63333333	
M82	148.9695833	69.67944444	
1RXSJ101015.9-311909	152.562625	-30.69488889	
1ES1011+496	153.7670833	49.43361111	
HESSJ1018-589	154.44	-59	
Westerlund2	155.85	-56.21	
HESSJ1026-582	156.66	-57.8	
1ES1101-232	165.9020833	-22.50416667	
Markarian421	166.0791667	38.19472222	
G292.2-0.5	169.75	-60.6	
Markarian180	174.11	70.1575	
RXJ1136.5+6737	174.1254167	67.61777778	
1ES1215+303	184.4520833	30.10166667	
1ES1218+304	185.3595833	30.19138889	
WComae	185.3820833	28.23305556	
MS1221.8+2452	186.1008333	24.60666667	
4C+21.35	186.2266667	21.37944444	
M87	187.6966667	12.3975	
3C279	194.04625	-4.210555556	
HESSJ1303-631	195.7	-62.8225	
PSRB1259-63	195.7054167	-62.16861111	
1ES1312-423	198.74375	-41.40305556	
CentaurusA	201.36	-42.98833333	
HESSJ1356-645	209	-63.5	
Kookaburra(Rabbit)	214.5166667	-59.02472222	
Kookaburra()	215.0375	-59.24	
PKS1424+240	216.75	23.79444444	
HESSJ1427-608	216.9666667	-59.15	
H1426+428	217.1358333	42.6725	
RCW86	220.679	-61.55511111	
1ES1440+122	220.70125	12.01111111	
G318.2+0.1	224.4416667	-58.53333333	
HESSJ1458-608	224.54	-59.12277778	
SN1006SW	225.5133333	-40.88194444	
HESSJ1503-582	225.9083333	-57.77083333	
SN1006NE	226.0141667	-40.19694444	
HESSJ1507-622	226.72	-61.65	
PKS1510-089	228.2175	-8.894	
MSH15-52	228.5291667	-58.8425	
APLib	229.4241667	-23.62805556	
SNRG327.1-1.1	238.65	-54.91527778	
PG1553+113	238.93625	11.19472222	
HESSJ1614-518	243.58	-50.18	
HESSJ1616-508	244.1	-49.1	
HESSJ1626-490	246.5166667	-48.91305556	
HESSJ1632-478	248.04	-46.18	
HESSJ1634-472	248.74	-46.73	
HESSJ1640-465	250.18	-45.47	
HESSJ1641-463	250.2570833	-45.69694444	
Westerlund1	251.7083333	-44.18	
Markarian501	253.4675	39.76027778	
HESSJ1702-420	255.6833333	-41.98416667	
HESSJ1708-443	257.0458333	-43.66666667	
HESSJ1708-410	257.1	-40.91	
RXJ1713.7-3946	258.39	-38.24	
CTB37B	258.49	-37.8	
CTB37A	258.5791667	-37.43333333	
SNRG349.7+0.2	259.5041667	-36.55833333	
HESSJ1718-385	259.5291667	-37.45	
H1722+119	261.2679167	11.87083333	
1ES1727+502	262.0775	50.21944444	
HESSJ1729-345	262.3958333	-33.46055556	
HESSJ1731-347	263.0125	-33.245	
HESSJ1741-302	265.25	-29.8	
1ES1741+196	265.9908333	19.58583333	
HESSJ1745-303	266.26	-29.63	
GalCentreRidge	266.415	-28.99388889	
GalacticCentre	266.415	-28.99388889	
G0.9+0.1	266.8466667	-27.84833333	
Terzan5	266.9541667	-23.19166667	
HESSJ1800-240B	270.11	-23.961	
W28	270.4258333	-22.665	
HESSJ1800-240A	270.4908333	-22.038	
HESSJ1804-216	271.13	-20.3	
HESSJ1808-204	272	-19.6	
HESSJ1809-193	272.6291667	-18.7	
HESSJ1813-178	273.4	-16.16	
SNRG15.4+0.1	274.52	-14.53305556	
HESSJ1825-137	276.4208333	-12.16111111	
LS5039	276.5625	-13.175	
HESSJ1831-098	277.8541667	-8.1	
HESSJ1832-093	278.2083333	-8.623333333	
HESSJ1834-087	278.69	-7.24	
HESSJ1837-069	279.41	-5.05	
HESSJ1841-055	280.2291667	-4.45	
HESSJ1843-033	280.75	-3	
HESSJ1846-029	281.6004167	-1.018611111	
HESSJ1848-018	282.1208333	-0.207694444	
IGRJ18490-0000	282.2567917	0.021444444	
HESSJ1857+026	284.2958333	2.666666667	
HESSJ1858+020	284.5833333	2.09	
MGROJ1908+06	286.975	6.268611111	
W49B	287.777625	9.092777778	
HESSJ1912+101	288.2041667	10.15166667	
W51	290.73	14.191	
G54.1+0.3	292.6333333	18.87	
HESSJ1943+213	295.9791667	21.30222222	
1ES1959+650	299.9991667	65.14861111	
MAGICJ2001+435	300.30625	43.88411111	
PKS2005-489	302.3625	-47.16888889	
VERJ2016+372	304	37.2	
MGROJ2019+37	304.6459583	36.83333333	
MilagroDiffuse	305	38	
VERJ2019+407	305.02	40.75722222	
MGROJ2031+41	307.41	41.19	
TeVJ2032+4130	308.0291667	41.50833333	
PKS2155-304	329.7195833	-29.77833333	
BLLacertae	330.6804167	42.27777778	
G106.3+2.7	336.9958333	60.87694444	
Boomerang	337.1833333	61.16666667	
B32247+381	342.5275	38.43277778	
CassiopeiaA	350.8075	58.80722222	
1ES2344+514	356.7704167	51.70472222	
H2356-309	359.78925	-29.37702778	

